centroid_x,centroid_y,centroid_position_delta,spb1_x,spb1_y,spb1_z,spb2_x,spb2_y,spb2_z,spindle_length,spindle_length_delta,major_axis,minor_axis,aspect_ratio,major_axis_delta,minor_axis_delta,aspect_ratio_delta,kmt1,kmt2,kmt_length_difference,kmt1_stretch,kmt2_stretch,kmt_stretch_difference,Mutation
33.2777777777778,70.1111111111111,NaN,40,69,4,28,71,6,12.328828005938,NaN,335.794408483644,297.274664817288,1.12957627482326,NaN,NaN,NaN,440.461405800781,362.770588664517,77.6908171362639,NaN,NaN,NaN,sir
36,71.1363636363636,2.90888923262767,42,72,10,25,73,12,17.1464281994822,4.8176001935443,366.621880560592,329.269853408472,1.11343895217089,30.8274720769481,31.995188591184,-0.016137322652364,395.681690251141,656.612899660066,260.931209408925,-44.7797155496395,293.842310995549,-338.622026545189,sir
37.0952380952381,73.4285714285714,2.54042576115085,40,73,16,27,70,18,13.490737563232,-3.65569063625021,357.790749674598,328.60090529013,1.08883068766562,-8.83113088599401,-0.668948118341405,-0.0246082645052716,603.456916440602,531.880625704678,71.5762907359241,207.775226189461,-124.732273955388,332.507500144849,sir
34.4074074074074,70.5555555555556,3.93429205995762,40,72,23,24,70,26,16.4012194668567,2.91048190362469,421.738091275916,349.473211529616,1.20678231510222,63.9473416013181,20.8723062394853,0.117951627436596,633.721153189634,596.871845541403,36.8493076482317,30.2642367490321,64.9912198367244,-34.7269830876924,sir
30.4705882352941,67.3529411764706,5.07496640925243,39,71,30,23,70,33,16.3095064303001,-0.0917130365566372,328.346486542667,289.581747068585,1.13386458182014,-93.3916047332497,-59.8914644610302,-0.0729177332820787,761.901076255966,493.891941622861,268.009134633105,128.179923066332,-102.979903918541,231.159826984873,sir
31.72,68.88,1.9730530677872,39,72,38,24,68,40,15.6524758424985,-0.657030587801561,375.948879503584,367.641701660734,1.02259585298763,47.602392960917,78.0599545921485,-0.111268728832504,458.963233821621,445.158960372584,13.8042734490368,-302.937842434345,-48.7329812502772,-254.204861184068,sir
32.9523809523809,69.1904761904762,1.27088877430088,41,73,45,23,68,47,18.7882942280559,3.13581838555741,368.946362697577,312.179974620841,1.1818386594005,-7.0025168060065,-55.4617270398932,0.159242806412868,526.508546939174,596.871845541403,70.3632986022291,67.5453131175526,151.712885168818,-84.1675720512659,sir
30.8421052631579,72.8421052631579,4.21754174478215,40,73,52,24,66,55,17.7200451466693,-1.06824908138659,348.077804369564,299.686886461349,1.16147158949665,-20.8685583280126,-12.4930881594915,-0.0203670699038547,750.900958848769,586.323502854866,164.577455993903,224.392411909595,-10.5483426865367,234.940754596132,sir
33.5,70.2222222222222,3.73204924676983,41,73,59,24,68,62,17.9722007556114,0.252155608942079,347.269187934791,285.229731970564,1.21750697424008,-0.808616434773853,-14.4571544907846,0.0560353847434312,716.888589670668,600.346774789371,116.541814881297,-34.0123691781001,14.0232719345053,-48.0356411126054,sir
31,69.4347826086957,2.62108014851719,38,66,66,22,72,69,17.3493515728975,-0.622849182713956,382.014590679881,336.219707672161,1.13620523117096,34.7454027450904,50.9899757015969,-0.0813017430691179,964.700601222991,469.567087858593,495.133513364397,247.812011552322,-130.779686930778,378.5916984831,sir
31.7826086956522,68.0869565217391,1.55856072425522,41,68,74,23,70,76,18.2208671582886,0.871515585391126,377.256602265384,333.34633819641,1.13172565298468,-4.75798841449733,-2.87336947575182,-0.00447957818628075,542.081405325805,506.369430356928,35.711974968877,-422.619195897186,36.8023424983348,-459.42153839552,sir
30.75,67.25,1.32920161661734,39,67,80,25,67,83,14.3178210632764,-3.90304609501224,339.672783719862,327.195812931645,1.03813303928441,-37.5838185455219,-6.15052526476455,-0.0935926137002707,713.981092186621,395.681690251141,318.29940193548,171.899686860816,-110.687740105787,282.587426966603,sir
31.9,67.05,1.16726175299287,36,67,85,25,69,90,12.2474487139159,-2.07037234936046,344.537080732974,318.170944619398,1.08286783114378,4.86429701311249,-9.02486831224701,0.0447347918593675,1206.9138328812,445.158960372584,761.75487250862,492.932740694584,49.477270121443,443.455470573141,sir
34.5,66.7692307692308,2.61511593642552,37,69,94,24,68,97,13.3790881602597,1.13163944634376,402.13025326844,358.799987463619,1.12076440166881,57.593172535466,40.6290428442213,0.0378965705250343,603.456916440602,596.871845541403,6.58507089919965,-603.456916440602,151.712885168818,-755.169801609421,sir
34.6818181818182,63.3181818181818,3.45583516877986,41,65,101,21,70,104,20.8326666559997,7.45357849574001,413.039558828882,295.328995197604,1.39857435451781,10.9093055604413,-63.4709922660152,0.277809952848995,656.295855540777,862.066847756019,205.770992215243,52.8389391001743,265.195002214617,-212.356063114442,sir
31.2,65.08,3.90218671478247,35,65,108,23,70,112,13.6014705087354,-7.23119614726422,392.986991093717,349.978878264256,1.12288773837656,-20.0525677351648,54.649883066652,-0.275686616141244,306.855421982405,998.604651501284,691.749229518878,-349.440433558371,136.537803745264,-485.978237303636,sir
32.6315789473684,63.7894736842105,1.92740147719504,39,64,114,26,66,118,13.7477270848675,0.146256576132076,338.979337272522,312.901381956456,1.08334241016454,-54.0076538211951,-37.0774963078003,-0.0395453282120237,395.681690251141,958.210050041221,562.52835979008,88.8262682687359,-40.3946014600622,129.220869728798,sir
35.4705882352941,64.3529411764706,2.89438583325759,37,64,121,26,65,125,11.7473401244707,-2.00038696039679,328.346486542667,289.581747068585,1.13386458182014,-10.6328507298551,-23.3196348878704,0.0505221716555999,900,596.871845541403,303.128154458597,504.318309748859,-361.338204499819,865.656514248678,sir
38.5294117647059,64.8823529411765,3.10429995340206,39,71,128,28,62,131,14.5258390463339,2.77849892186322,338.694835883338,290.388050564525,1.16635252457841,10.3483493406709,0.806303495939517,0.0324879427582749,258,1072.91215856658,814.912158566581,-642,476.040313025178,-1118.04031302518,sir
34.3636363636364,64.6363636363636,4.17303192298336,36,72,134,27,61,138,14.7648230602334,0.238984013899451,364.175407287103,339.146022818178,1.07380120297723,25.4805714037653,48.7579722536537,-0.0925513216011846,1244.25339059213,376.096397217522,868.156993374603,986.253390592125,-696.815761349059,1683.06915194118,sir
33.15,64,1.37035466242373,40,70,142,28,61,144,15.1327459504216,0.367922890188156,369.99591012837,309.335960548203,1.19609730945172,5.82050284126677,-29.8100622699753,0.122296106474492,753.66604009999,232.558057267427,521.107982832563,-490.587350492135,-143.538339950095,-347.04901054204,sir
35.84,63.76,2.70068509826674,39,66,148,24,65,151,15.3297097167559,0.196963766334335,392.499792412945,358.337868715818,1.09533439437912,22.5038822845755,49.0019081676151,-0.100762915072602,606.894142334559,656.612899660066,49.7187573255071,-146.771897765431,424.054842392639,-570.82674015807,sir
32.9411764705882,64.3529411764706,2.95884387783905,40,69,156,26,63,158,15.3622914957372,0.0325817789813243,328.944801134054,293.646427496185,1.12020705969027,-63.5549912788914,-64.691441219633,0.0248726653111506,728.402532944525,328.886758626735,399.51577431779,121.508390609966,-327.726141033331,449.234531643298,sir
34.2173913043478,66.0869565217391,2.15302891748689,40,73,163,25,66,165,16.6733320005331,1.31104050479585,377.256602265384,333.34633819641,1.13172565298468,48.31180113133,39.6999107002243,0.0115185932944104,510.460821219415,542.081405325805,31.6205841063898,-217.94171172511,213.194646699071,-431.13635842418,sir
33.4,66.75,1.05249950046911,44,70,171,25,73,170,19.2613602842582,2.58802828372516,368.576806521391,311.025477564931,1.18503734615903,-8.67979574399311,-22.3208606314784,0.0533116931743487,627.453783158569,503.761104095979,123.692679062589,116.992961939153,-38.320301229826,155.313263168979,sir
40.5,73.8,10.005623418858,47,80,177,31,65,180,22.1359436211787,2.87458333692043,339.672783719862,330.736813796106,1.02701837095542,-28.9040228015288,19.7113362311747,-0.158018975203612,456.083873865323,1131.41868908022,675.334815214895,-171.369909293245,627.657584984239,-799.027494277485,sir
37.85,70.3,4.39004555785017,43,80,185,30,65,185,19.8494332412792,-2.28651037989945,366.04110878276,304.317033176074,1.20282819848264,26.368325062898,-26.4197806200314,0.175809827527224,554.849979724249,465.116114534855,89.7338651893949,98.7661058589263,-666.302574545364,765.06868040429,sir
43.6818181818182,69.9090909090909,5.84490489427676,48,75,193,29,66,193,21.0237960416286,1.17436280034943,362.092404077894,343.177218512222,1.0551178357575,-3.94870470486535,38.8601853361473,-0.14771036272514,406.059724671138,890.551654874663,484.491930203525,-148.790255053112,425.435540339808,-574.22579539292,sir
45.1,71.05,1.82014098990724,47,78,199,32,65,199,19.8494332412792,-1.17436280034943,344.537080732974,318.170944619398,1.08286783114378,-17.5553233449201,-25.0062738928238,0.0277499953862761,445.158960372584,862.066847756019,416.907887383435,39.0992357014467,-28.4848071186431,67.5840428200897,sir
39.7826086956522,68.0869565217391,6.08722243208002,47,77,206,33,65,207,18.4661853126194,-1.38324792865982,377.256602265384,333.34633819641,1.13172565298468,32.7195215324094,15.1753935770116,0.0488578218409033,594.660617495391,440.461405800781,154.19921169461,149.501657122807,-421.605441955239,571.107099078046,sir
38.8095238095238,66.1428571428571,2.17403233429974,46,76,214,31,64,214,19.2093727122985,0.743187399679158,350.917449273626,330.495368641152,1.06179233529486,-26.3391529917575,-2.85096955525717,-0.0699333176898163,711.354342082763,493.891941622861,217.462400459901,116.693724587371,53.4305358220807,63.2631887652907,sir
37.8333333333333,68.4166666666667,2.47450148441498,45,77,220,31,64,221,19.131126469709,-0.0782462425895538,416.602727921365,318.560696082359,1.30776562534149,65.6852786477392,-11.9346725587936,0.245973290046623,624.129794193483,708.130284622823,84.0004904293393,-87.2245478892792,214.238342999961,-301.46289088924,sir
37.8095238095238,66.9047619047619,1.51209222684807,44,76,228,30,63,228,19.1049731745428,-0.0261532951661927,371.172961497654,313.887377437013,1.18250362447957,-45.4297664237116,-4.67331864534589,-0.12526200086192,650.246107254784,510.460821219415,139.785286035369,26.1163130613005,-197.669463403407,223.785776464708,sir
36.1111111111111,67.2777777777778,1.73889233009157,43,76,235,31,63,235,17.6918060129541,-1.41316716158867,335.794408483644,297.274664817288,1.12957627482326,-35.3785530140097,-16.6127126197252,-0.0529273496563107,666.048984685061,440.461405800781,225.58757888428,15.8028774302766,-69.9994154186347,85.8022928489113,sir
36.8888888888889,65.2777777777778,2.14591199064755,45,74,242,29,63,241,19.4422220952236,1.75041608226945,335.794408483644,297.274664817288,1.12957627482326,0,0,0,705.481750295498,392.338183204235,313.143567091263,39.4327656104379,-48.1232225965455,87.5559882069834,sir
38.1923076923077,68.5384615384615,3.51154654878623,44,75,250,29,64,248,18.7082869338697,-0.733935161353873,405.419879092733,352.853247036393,1.14897590569974,69.6254706090892,55.5785822191055,0.0193996308764814,728.402532944525,520.015624765256,208.386908179269,22.9207826490267,127.677441561021,-104.756658911995,sir
39.1578947368421,66.6315789473684,2.13741890063381,45,73,257,30,62,255,18.7082869338697,0,351.48615524974,306.70153520683,1.14602020173361,-53.9337238429935,-46.1517118295627,-0.00295570396612788,728.402532944525,520.015624765256,208.386908179269,0,0,0,sir
38.1428571428571,66.8095238095238,1.03051719596049,44,73,263,29,63,262,18.0554700852678,-0.652816848601919,350.917449273626,330.495368641152,1.06179233529486,-0.568705976113677,23.7938334343219,-0.0842278664387464,510.460821219415,491.217365328222,19.2434558911934,-217.94171172511,-28.7982594370344,-189.143452288075,sir
39.3636363636364,66.6363636363636,1.23299892597487,44,75,270,32,62,270,17.6918060129541,-0.363664072313657,364.175407287103,339.146022818178,1.07380120297723,13.2579580134767,8.65065417702613,0.0120088676823651,553.473576605062,510.460821219415,43.012755385647,43.012755385647,19.2434558911934,23.7692994944537,sir
38.2777777777778,65.8888888888889,1.31825921828571,44,75,276,31,66,278,15.9373774505092,-1.7544285624449,335.794408483644,297.274664817288,1.12957627482326,-28.3809988034587,-41.871358000891,0.0557750718460281,554.849979724249,681.180042279572,126.330062555323,1.37640311918699,170.719221060157,-169.34281794097,sir
37.1818181818182,68.2727272727273,2.6237021317667,43,75,284,29,64,284,17.8044938147649,1.86711636425563,374.164661501063,325.567521479757,1.14926900509125,38.3702530174193,28.2928566624698,0.0196927302679881,510.460821219415,553.473576605062,43.012755385647,-44.389158504834,-127.70646567451,83.3173071696759,sir
